vp ses resp RT key stim inf1 inf2
vp01 ses01 d 0.9373 r stim54 5 4
vp01 ses01 d 1.1358 r stim54 5 4
vp01 ses01 d 0.8202 r stim67 6 7
vp01 ses01 d 0.7439 r stim55 5 5
vp01 ses01 s 1.3462 l stim11 1 1
vp01 ses01 s 0.9887 l stim33 3 3
vp01 ses01 s 1.5033 l stim35 3 5
vp01 ses01 s 1.2397 l stim54 5 4
vp01 ses01 s 1.0069 l stim88 8 8
vp01 ses01 d 1.6746 r stim21 2 1
vp01 ses01 d 0.7696 r stim37 3 7
vp01 ses01 s 0.8245 l stim20 2 0
vp01 ses01 d 1.5637 r stim62 6 2
vp01 ses01 d 1.2181 r stim56 5 6
vp01 ses01 d 1.0836 r stim84 8 4
vp01 ses01 s 1.1095 l stim54 5 4
vp01 ses01 s 0.7851 l stim00 0 0
vp01 ses01 d 0.6782 r stim02 0 2
vp01 ses01 d 0.8147 r stim22 2 2
vp01 ses01 s 0.8213 l stim22 2 2
vp01 ses01 d 1.3281 r stim77 7 7
vp01 ses01 s 1.0168 l stim87 8 7
vp01 ses01 s 0.8707 l stim84 8 4
vp01 ses01 s 1.2129 l stim32 3 2
vp01 ses01 d 0.78 r stim01 0 1
vp01 ses01 d 0.8788 r stim04 0 4
vp01 ses01 d 1.2942 r stim65 6 5
vp01 ses01 d 1.466 r stim88 8 8
vp01 ses01 d 0.9487 r stim62 6 2
vp01 ses01 s 1.2284 l stim44 4 4
vp01 ses01 d 1.0795 r stim66 6 6
vp01 ses01 d 0.9876 r stim42 4 2
vp01 ses01 d 0.6326 r stim24 2 4
vp01 ses01 d 0.6979 r stim56 5 6
vp01 ses01 d 0.6304 r stim68 6 8
vp01 ses01 s 0.8067 l stim44 4 4
vp01 ses01 s 0.7629 l stim88 8 8
vp01 ses01 s 0.8465 l stim83 8 3
vp01 ses01 d 0.7562 r stim32 3 2
vp01 ses01 s 0.9916 l stim40 4 0
vp01 ses01 d 1.1923 r stim30 3 0
vp01 ses01 s 2.1048 l stim65 6 5
vp01 ses01 s 0.8984 l stim41 4 1
vp01 ses01 d 0.7604 r stim77 7 7
vp01 ses01 s 2.1962 l stim54 5 4
vp01 ses01 d 0.9263 r stim84 8 4
vp01 ses01 d 0.9086 r stim78 7 8
vp01 ses01 d 0.6546 r stim64 6 4
vp01 ses01 d 0.5721 r stim03 0 3
vp01 ses01 d 0.8466 r stim54 5 4
vp01 ses01 d 1.0888 r stim65 6 5
vp01 ses01 s 1.0459 l stim44 4 4
vp01 ses01 s 0.9833 l stim32 3 2
vp01 ses01 d 0.6683 r stim00 0 0
vp01 ses01 d 1.5657 r stim75 7 5
vp01 ses01 d 1.0356 r stim77 7 7
vp01 ses01 d 0.8071 r stim76 7 6
vp01 ses01 d 0.7301 r stim02 0 2
vp01 ses01 d 1.9958 r stim53 5 3
vp01 ses01 s 0.8972 l stim00 0 0
vp01 ses01 s 1.3264 l stim43 4 3
vp01 ses01 s 1.051 l stim88 8 8
vp01 ses01 d 1.5151 r stim44 4 4
vp01 ses01 d 0.689 r stim73 7 3
vp01 ses01 s 0.8547 l stim35 3 5
vp01 ses01 d 0.7642 r stim35 3 5
vp01 ses01 s 1.7316 l stim87 8 7
vp01 ses01 d 0.7169 r stim75 7 5
vp01 ses01 d 0.6499 r stim36 3 6
vp01 ses01 s 1.0953 l stim75 7 5
vp01 ses01 d 1.7171 r stim47 4 7
vp01 ses01 s 0.7321 l stim51 5 1
vp01 ses01 s 1.5527 l stim68 6 8
vp01 ses01 s 1.1237 l stim74 7 4
vp01 ses01 d 0.6815 r stim47 4 7
vp01 ses01 d 1.0796 r stim86 8 6
vp01 ses01 d 1.089 r stim88 8 8
vp01 ses01 d 0.6378 r stim43 4 3
vp01 ses01 d 0.5515 r stim62 6 2
vp01 ses01 s 0.8552 l stim11 1 1
vp01 ses01 d 0.9157 r stim77 7 7
vp01 ses01 d 1.0293 r stim88 8 8
vp01 ses01 d 0.6663 r stim47 4 7
vp01 ses01 d 0.7784 r stim88 8 8
vp01 ses01 d 0.8327 r stim35 3 5
vp01 ses01 d 0.9234 r stim03 0 3
vp01 ses01 d 0.987 r stim00 0 0
vp01 ses01 d 0.7188 r stim46 4 6
vp01 ses01 d 1.1194 r stim86 8 6
vp01 ses01 d 1.829 r stim21 2 1
vp01 ses01 d 1.6199 r stim53 5 3
vp01 ses01 d 0.7772 r stim00 0 0
vp01 ses01 d 1.4816 r stim30 3 0
vp01 ses01 s 0.9686 l stim00 0 0
vp01 ses01 s 1.1851 l stim00 0 0
vp01 ses01 d 1.5978 r stim24 2 4
vp01 ses01 d 0.7043 r stim50 5 0
vp01 ses01 d 0.7716 r stim11 1 1
vp01 ses01 d 0.8084 r stim53 5 3
vp01 ses01 s 1.0129 l stim00 0 0
vp01 ses01 s 1.3805 l stim67 6 7
vp01 ses01 s 1.1739 l stim45 4 5
vp01 ses01 s 0.8734 l stim56 5 6
vp01 ses01 s 0.9164 l stim20 2 0
vp01 ses01 d 1.1119 r stim63 6 3
vp01 ses01 s 7.184 l stim77 7 7
vp01 ses01 s 6.0117 l stim10 1 0
vp01 ses01 d 0.7519 r stim21 2 1
vp01 ses01 s 1.0425 l stim23 2 3
vp01 ses01 s 0.9816 l stim65 6 5
vp01 ses01 s 1.1492 l stim45 4 5
vp01 ses01 d 0.6425 r stim38 3 8
vp01 ses01 s 0.7881 l stim77 7 7
vp01 ses01 s 0.7438 l stim33 3 3
vp01 ses01 d 0.6284 r stim57 5 7
vp01 ses01 d 0.7392 r stim75 7 5
vp01 ses01 s 0.8205 l stim02 0 2
vp01 ses01 d 0.7624 r stim04 0 4
vp01 ses01 d 0.6987 r stim14 1 4
vp01 ses01 s 1.0635 l stim33 3 3
vp01 ses01 d 1.1345 r stim57 5 7
vp01 ses01 d 1.1298 r stim33 3 3
vp01 ses01 s 2.5877 l stim55 5 5
vp01 ses01 d 1.1693 r stim34 3 4
vp01 ses01 d 1.1989 r stim66 6 6
vp01 ses01 s 1.4798 l stim53 5 3
vp01 ses01 d 0.7973 r stim73 7 3
vp01 ses01 s 0.8183 l stim42 4 2
vp01 ses01 d 1.0918 r stim76 7 6
vp01 ses01 d 1.0836 r stim77 7 7
vp01 ses01 d 0.7711 r stim48 4 8
vp01 ses01 d 0.9773 r stim88 8 8
vp01 ses01 d 0.994 r stim00 0 0
vp01 ses01 s 1.1295 l stim53 5 3
vp01 ses01 s 1.5376 l stim11 1 1
vp01 ses01 d 1.3266 r stim52 5 2
vp01 ses01 d 1.0501 r stim11 1 1
vp01 ses01 d 0.724 r stim12 1 2
vp01 ses01 d 0.7456 r stim57 5 7
vp01 ses01 s 1.0293 l stim88 8 8
vp01 ses01 d 1.1013 r stim64 6 4
vp01 ses01 d 1.0265 r stim44 4 4
vp01 ses01 d 2.3138 r stim01 0 1
vp01 ses01 d 0.8001 r stim68 6 8
