resp RT id s1 s2 phi1 phi2
s 1.0272 vp01 8.7 8.7 1.64066918881 1.58829991378
d 0.7368 vp01 7.5 8.3 2.8144149241 0.756053530796
d 1.0504 vp01 8.3 8.3 4.22644915903 1.76510223311
d 0.9865 vp01 6.7 5.9 0.555393065796 1.95380813449
s 0.8591 vp01 9.1 9.1 4.48948618571 5.8117940584
d 0.4504 vp01 9.1 7.5 0.759489766846 3.07841660433
s 1.9792 vp01 8.7 8.7 1.4841102147 2.59330050217
s 1.1943 vp01 8.7 8.7 2.84773900218 0.0686918629774
d 0.77 vp01 6.7 6.3 1.46112055693 3.80112664202
d 0.8032 vp01 9.1 8.3 1.88529561902 2.90473898304
s 1.0593 vp01 7.9 7.1 2.54046270884 1.72356747344
s 2.4347 vp01 6.7 6.7 1.24697275679 3.21210896802
s 0.9229 vp01 7.1 6.3 1.40797778577 5.34185995507
d 1.8097 vp01 6.7 7.9 0.870912077598 5.37665204278
s 1.4021 vp01 7.9 7.9 1.53635200081 4.39295266696
d 1.1704 vp01 7.5 7.1 4.91670614533 3.65144035385
s 0.925 vp01 6.7 6.3 3.79698176883 5.18816848816
d 1.4753 vp01 5.9 6.7 3.78724813439 0.0589803167794
s 1.4033 vp01 8.7 9.1 0.0698594848325 0.206778849645
d 0.9949 vp01 7.9 8.3 0.309001441907 5.11456735821
s 1.4038 vp01 7.1 7.5 0.597739996745 0.299664056482
d 0.6274 vp01 7.1 9.1 4.55137627548 0.266420871441
d 1.2512 vp01 7.9 7.5 2.95689190088 3.03490893973
d 0.971 vp01 7.9 8.3 4.92882088983 5.01162793631
s 0.7712 vp01 8.3 9.1 3.66757987359 5.98837663629
s 1.1466 vp01 6.3 6.3 5.73375427224 1.73507207937
d 1.6427 vp01 8.3 7.5 0.783175121017 5.80479760243
s 0.8991 vp01 7.1 6.7 0.0992293446726 1.36965751769
d 1.7465 vp01 7.1 8.3 3.97246959914 2.35864137467
d 0.5312 vp01 9.1 7.5 4.11827549199 2.87603841175
d 1.1065 vp01 7.9 7.9 3.05282059329 0.051435747384
s 1.0006 vp01 8.7 8.3 1.98567599502 4.27216344304
s 1.7074 vp01 8.3 8.3 0.919908952612 5.46209054116
s 1.1162 vp01 7.5 7.9 4.49874628726 4.96573764899
s 1.0998 vp01 8.7 9.1 5.75570347521 6.04766784412
s 1.1881 vp01 5.9 6.3 5.7438183235 2.78730248709
d 0.7553 vp01 7.9 8.3 1.60777069701 4.95439755809
d 1.4283 vp01 5.9 5.9 2.9053105605 1.19145582763
d 0.8193 vp01 6.7 8.3 3.57743057246 1.72119934201
d 0.6839 vp01 7.1 8.7 3.27126596564 0.874473984383
s 0.948 vp01 7.5 7.5 0.62538918478 1.53468662901
d 0.5235 vp01 7.1 8.3 3.91955754794 2.85450355425
d 0.684 vp01 6.3 5.9 0.506434886156 4.85861496598
d 0.8201 vp01 7.5 7.1 2.27509690452 0.5058656021
d 1.7715 vp01 7.9 7.5 4.31077200634 0.150291497566
d 1.2679 vp01 7.5 7.5 0.865353970868 4.67040622002
d 1.6237 vp01 7.9 7.9 2.10460154738 4.34578294581
d 1.2357 vp01 6.3 7.1 3.06379870369 5.16770981313
d 1.2441 vp01 6.3 7.5 2.43277386873 2.18994225859
d 1.1158 vp01 8.3 7.5 2.70574489998 6.1209726896
s 1.3873 vp01 6.3 6.7 4.93829813945 5.19380148994
d 0.9793 vp01 7.9 8.7 4.8723323106 4.96930652298
s 1.1398 vp01 8.7 9.1 1.47131363282 3.45268301054
d 0.9558 vp01 7.5 7.1 0.0202054809022 3.27550376398
d 1.1557 vp01 5.9 5.9 1.31168510964 2.99725845373
d 0.9962 vp01 7.1 6.7 4.0846853628 5.43179149882
s 1.316 vp01 5.9 5.9 3.06988121177 4.70095923448
s 1.4033 vp01 9.1 8.3 3.64557518087 0.833265691105
s 0.8509 vp01 6.3 7.1 0.203737342985 1.44754199937
d 0.46 vp01 8.3 7.1 0.0378077086583 4.35206940899
s 0.7227 vp01 9.1 9.1 3.94627180767 3.92444897943
s 1.1589 vp01 7.9 7.9 1.89311788213 6.18095226954
d 0.8996 vp01 6.3 8.7 4.33531374564 4.48503443067
d 0.78 vp01 8.3 6.7 5.69083143727 0.755552796802
d 2.3716 vp01 9.1 8.3 2.327012979 0.186766563904
